stage,dut,variable,entries,mean,std,landau_mpv,landau_mpv_err,landau_sigma,landau_sigma_err,gauss_sigma,gauss_sigma_err,landau_chi2_ndf,collected_charge,collected_charge_err
Before pmax cut,DUT1,pmax_fit,60000,13.860699257279032,37.884766907413784,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT1,tmax_fit,60000,-0.062378624744137294,11.094624889672588,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT1,area_new,59943,9.310312920477536,33.19928222651373,1.5010013837122425,0.0035999524044097236,0.4556313783295915,0.0031738127242308353,0.15145336282401378,0.021547940925780336,18.495742818235247,0.31936199653451963,0.0007659473200871752
Before pmax cut,DUT2,pmax_fit,59999,11.405422001682215,32.46483486708796,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT2,tmax_fit,60000,-0.07648891237033047,11.22534194350223,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT2,area_new,59917,7.981103498638629,31.954396263091745,1.6901158214931626,0.006577152499051045,0.6747314552349694,0.004622131779545838,0.04832257735513149,0.18456787239666977,13.504989816432314,0.35959911095599206,0.0013993941487342647
Before pmax cut,DUT3,pmax_fit,60000,12.004745289040978,34.47575095935632,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT3,tmax_fit,60000,-0.11686400232733843,11.193546100607989,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT3,area_new,59930,8.77026107314862,35.3810826686155,1.9451776900652265,0.004420185773028103,0.6011160932630647,0.0036750992298741967,0.1704266935320538,0.02673072406434301,4.77831758346728,0.41386759363089926,0.0009404650580910858
Before pmax cut,DUT4,pmax_fit,60000,11.943226886937953,35.59082544401606,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT4,tmax_fit,60000,-0.0857503483367349,11.220787820840755,nan,nan,nan,nan,,,nan,nan,nan
Before pmax cut,DUT4,area_new,59930,8.110726585312577,36.304366532087414,1.5693322819790914,0.00461655150501861,0.5737857704303106,0.003772594882808222,0.039585658981042576,0.13335781672519068,10.714781295622362,0.3339004855274662,0.0009822450010677894
After pmax cut,DUT1,pmax_fit,4367,123.77203018331736,81.61486624059246,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT1,tmax_fit,4367,0.057181532013264334,0.2306492785220496,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT1,area_new,4367,99.52918079359624,79.20475596950902,70.6892805828856,0.27031995804523284,10.307625122652851,0.24697183772707654,2.0690410719848567,1.912286011041546,3.547497454631024,15.040272464443744,0.05751488469047507
After pmax cut,DUT2,pmax_fit,3122,122.70738189667941,84.50823573634652,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT2,tmax_fit,3122,-0.016100054265892692,0.2359671628051861,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT2,area_new,3122,99.57793017307357,102.03638773610989,68.23894513041006,0.3085873630540309,9.844502355174578,0.27509311997222835,1.6909562338703699,2.469365991507331,2.5029960667736746,14.518924495831927,0.06565688575617679
After pmax cut,DUT3,pmax_fit,3386,124.70383067392979,86.77308258386654,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT3,tmax_fit,3386,0.22616253295401212,0.2345256447886613,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT3,area_new,3386,107.69631015712244,107.16683184437882,73.38649459572942,0.31495959128916656,9.931466758243385,0.2858934367396726,2.763380639575487,2.0987846899622515,3.270011463534853,15.614147786325407,0.06701267899769502
After pmax cut,DUT4,pmax_fit,2848,146.31453974595232,87.54064302949979,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT4,tmax_fit,2848,0.2636023220566692,0.24295095665680166,nan,nan,nan,nan,,,nan,nan,nan
After pmax cut,DUT4,area_new,2848,121.78687333257011,118.35754919021652,85.43408999676974,0.36056083465430994,11.194459643091987,0.3283269315208281,0.6544354084026792,8.376618491682821,2.630745628647596,18.17746595675952,0.07671507120304466
